Crime_Year,PrimaryType,Total_Crime,Total_Arrest
2015,Arson,453,52
2015,Assault,17048,4061
2015,Battery,48927,11566
2015,Burglary,13184,728
2015,"Concealed Carry Violation",34,33
2015,"Criminal Damage",28677,1835
2015,"Criminal Sexual Assault",1464,183
2015,"Criminal Trespass",6401,4396
2015,"Deceptive Practice",16494,1019
2015,Gambling,310,310
2015,Homicide,475,204
2015,"Human Trafficking",13,4
2015,"Interference With Officer",1308,1253
2015,Intimidation,123,21
2015,Kidnapping,190,15
2015,"Liquor Law Violation",292,291
2015,"Motor Vehicle Theft",10068,1003
2015,Narcotics,23939,23931
2015,Non-criminal,1,1
2015,Obscenity,49,35
2015,"Offense Involving Children",2527,448
2015,"Other Narcotic Violation",5,2
2015,"Other Offense",17566,4797
2015,Prostitution,1322,1320
2015,"Public Indecency",14,14
2015,"Public Peace Violation",2422,1881
2015,Robbery,9638,935
2015,"Sex Offense",1053,235
2015,Stalking,155,31
2015,Theft,57354,6776
2015,"Weapons Violation",3364,2683
2016,Arson,516,53
2016,Assault,18743,3494
2016,Battery,50300,10335
2016,Burglary,14289,699
2016,"Concealed Carry Violation",36,34
2016,"Criminal Damage",31018,1669
2016,"Criminal Sexual Assault",1628,182
2016,"Criminal Trespass",6306,3724
2016,"Deceptive Practice",19453,834
2016,Gambling,189,189
2016,Homicide,753,270
2016,"Human Trafficking",11,2
2016,"Interference With Officer",936,887
2016,Intimidation,136,25
2016,Kidnapping,202,15
2016,"Liquor Law Violation",227,226
2016,"Motor Vehicle Theft",11285,1098
2016,Narcotics,13333,13327
2016,Non-criminal,1,0
2016,Obscenity,51,38
2016,"Offense Involving Children",2515,373
2016,"Other Narcotic Violation",4,3
2016,"Other Offense",17309,3416
2016,Prostitution,800,800
2016,"Public Indecency",10,10
2016,"Public Peace Violation",1607,1116
2016,Robbery,11960,986
2016,"Sex Offense",1064,204
2016,Stalking,176,16
2016,Theft,61628,6522
2016,"Weapons Violation",3450,2510
2017,Arson,444,40
2017,Assault,19306,3463
2017,Battery,49242,10095
2017,Burglary,13001,653
2017,"Concealed Carry Violation",69,66
2017,"Criminal Damage",29045,1750
2017,"Criminal Sexual Assault",1703,152
2017,"Criminal Trespass",6814,4018
2017,"Deceptive Practice",19812,850
2017,Gambling,191,191
2017,Homicide,628,213
2017,"Human Trafficking",9,1
2017,"Interference With Officer",1087,1032
2017,Intimidation,150,14
2017,Kidnapping,190,17
2017,"Liquor Law Violation",191,191
2017,"Motor Vehicle Theft",11380,916
2017,Narcotics,11683,11677
2017,Non-criminal,1,0
2017,Obscenity,87,66
2017,"Offense Involving Children",2466,410
2017,"Other Narcotic Violation",11,7
2017,"Other Offense",17273,3775
2017,Prostitution,735,735
2017,"Public Indecency",10,10
2017,"Public Peace Violation",1498,1022
2017,Robbery,11881,923
2017,"Sex Offense",1073,216
2017,Stalking,192,24
2017,Theft,64387,6475
2017,"Weapons Violation",4686,3678
2018,Arson,373,41
2018,Assault,20408,3366
2018,Battery,49834,10299
2018,Burglary,11747,598
2018,"Concealed Carry Violation",149,145
2018,"Criminal Damage",27823,1686
2018,"Criminal Sexual Assault",1749,187
2018,"Criminal Trespass",6909,3802
2018,"Deceptive Practice",20000,894
2018,Gambling,201,201
2018,Homicide,575,245
2018,"Human Trafficking",12,1
2018,"Interference With Officer",1307,1245
2018,Intimidation,169,13
2018,Kidnapping,172,8
2018,"Liquor Law Violation",268,268
2018,"Motor Vehicle Theft",9985,551
2018,Narcotics,13593,13587
2018,Non-criminal,1,0
2018,Obscenity,86,68
2018,"Offense Involving Children",2485,365
2018,"Other Narcotic Violation",1,0
2018,"Other Offense",17272,3578
2018,Prostitution,718,718
2018,"Public Indecency",14,14
2018,"Public Peace Violation",1372,826
2018,Robbery,9681,809
2018,"Sex Offense",1272,233
2018,Stalking,208,21
2018,Theft,65292,6340
2018,"Weapons Violation",5456,3803
2019,Arson,376,43
2019,Assault,20624,3744
2019,Battery,49527,10417
2019,Burglary,9639,551
2019,"Concealed Carry Violation",217,212
2019,"Criminal Damage",26683,1671
2019,"Criminal Sexual Assault",1674,139
2019,"Criminal Trespass",6819,3793
2019,"Deceptive Practice",19294,901
2019,Gambling,142,142
2019,Homicide,489,192
2019,"Human Trafficking",15,0
2019,"Interference With Officer",1546,1486
2019,Intimidation,163,6
2019,Kidnapping,173,12
2019,"Liquor Law Violation",232,232
2019,"Motor Vehicle Theft",8978,520
2019,Narcotics,15080,15075
2019,Non-criminal,3,1
2019,Obscenity,59,45
2019,"Offense Involving Children",2484,369
2019,"Other Narcotic Violation",8,5
2019,"Other Offense",16806,3713
2019,Prostitution,681,681
2019,"Public Indecency",11,11
2019,"Public Peace Violation",1520,1071
2019,Robbery,7995,710
2019,"Sex Offense",1386,183
2019,Stalking,228,36
2019,Theft,62499,6112
2019,"Weapons Violation",6339,4226
2020,Arson,588,41
2020,Assault,18260,2332
2020,Battery,41519,6928
2020,Burglary,8759,496
2020,"Concealed Carry Violation",148,144
2020,"Criminal Damage",24882,1181
2020,"Criminal Sexual Assault",1260,90
2020,"Criminal Trespass",4176,1710
2020,"Deceptive Practice",18644,390
2020,Gambling,25,25
2020,Homicide,767,347
2020,"Human Trafficking",6,1
2020,"Interference With Officer",654,602
2020,Intimidation,163,7
2020,Kidnapping,120,11
2020,"Liquor Law Violation",143,143
2020,"Motor Vehicle Theft",9962,479
2020,Narcotics,7493,7490
2020,Non-criminal,1,0
2020,Obscenity,58,47
2020,"Offense Involving Children",2053,256
2020,"Other Narcotic Violation",6,4
2020,"Other Offense",12613,1777
2020,Prostitution,277,275
2020,"Public Indecency",9,9
2020,"Public Peace Violation",1272,455
2020,Ritualism,1,0
2020,Robbery,7855,575
2020,"Sex Offense",988,110
2020,Stalking,205,15
2020,Theft,41356,2804
2020,"Weapons Violation",8433,5451
2021,Arson,530,48
2021,Assault,20345,1830
2021,Battery,40484,5789
2021,Burglary,6662,311
2021,"Concealed Carry Violation",173,167
2021,"Criminal Damage",25095,879
2021,"Criminal Sexual Assault",1540,90
2021,"Criminal Trespass",3406,997
